CedenAnalyteName,AnalyteName,AnalyteDescription,CASNumber,Concatenate,AnalyteGroup1,AnalyteGroup2,AnalyteGroup3,AnalyteGroup4,AnalyteGroup5,AnalyteGroup6,Notes
,"[(Methylimino)dimethylidyne]di-2,4-xylidine, N,N'-","N,N'-[(Methylimino)dimethylidyne]di-2,4-xylidine (Amitraz)",0,"Chemical,Organic,Pesticide,Insecticide",Organic,Organic,Pesticide,Insecticide,,,
,"1,2-bis(2,4,6- tribromophenoxy)ethane","1,2-bis(2,4,6- tribromophenoxy)ethane (BTBPE)",37853591,"Chemical,Organic,Flame Retardants",Organic,Organic,Flame Retardants,,,,
,"1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane","1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane (DBE-DBCH)",3322938,"Chemical,Organic,Flame Retardants",Organic,Organic,Flame Retardants,,,,
,18a-Oleanane,18a-Oleanane,30759923,"Chemical,Organic,Hopane",Organic,Organic,Hopane,,,,
,"2,2-bis(chloromethyl)propane-1,3-diyltetrakis(2-chloroethyl) bisphosphate","2,2-bis(chloromethyl)propane-1,3-diyltetrakis(2-chloroethyl) bisphosphate (V6)",38051104,"Chemical,Organic,Flame Retardants",Organic,Organic,Flame Retardants,,,,
,"2,4,6-tribromophenyl allyl ether","2,4,6-tribromophenyl allyl ether (ATE)",3278895,"Chemical,Organic,Flame Retardants",Organic,Organic,Flame Retardants,,,,
,"2-ethyl-1-hexyl-2,3,4,5-tetrabromobenzoate","2-ethyl-1-hexyl-2,3,4,5-tetrabromobenzoate (EHTBB)",184000000,"Chemical,Organic,Flame Retardants",Organic,Organic,Flame Retardants,,,,
,2-Ethylhexyl-diphenyl phosphate,2-Ethylhexyl-diphenyl phosphate (EHDPP),1241947,"Chemical,Organic,Flame Retardants",Organic,Organic,Flame Retardants,,,,
,"4-Aminophenylsulfonylcarbamic acid methyl ester, N-",N-(4-Aminophenyl)sulfonylcarbamic acid methyl ester (Asulam),0,"Chemical,Organic,Pesticide,Herbicide",Organic,Organic,Pesticide,Herbicide,,,
,"4-chloro-2-methylphenyl-N,N-dimethylmethanimidamide, N'-","N'-(4-chloro-2-methylphenyl)-N,N-dimethylmethanimidamide (Chlordimeform)",6164983,"Chemical,Organic,Pesticide",Organic,Organic,Pesticide,,,,
